name,primary_category,country_code,funding_total_usd,funding_rounds,status,failed,startup_age_years,founded_year
1stdibs,E-Commerce,USA,117000000.0,5,operating,0,25.0,2001.0
1stGig.com,E-Commerce,USA,750000.0,1,operating,0,17.0,2009.0
1World Online,Analytics,USA,4000000.0,3,operating,0,15.0,2011.0
2 Minutes,Games,FRA,1660000.0,1,operating,0,26.0,2000.0
2NGageU,Consumers,USA,58000.0,1,operating,0,15.0,2011.0
2-Observe,Design,BEL,204189.0,1,operating,0,16.0,2010.0
2 Pro Media Group,Digital Media,Unknown,41250.0,1,operating,0,15.0,2011.0
20/20 Gene Systems Inc.,Biotechnology,USA,4345427.0,3,operating,0,26.0,2000.0
20:20 Mobile,Mobile,IRL,29750000.0,1,operating,0,20.0,2006.0
2080 Media,News,USA,51507046.0,7,operating,0,18.0,2008.0
20lines,Curated Web,ITA,1236454.0,3,operating,0,14.0,2012.0
20x200,Art,USA,2800000.0,2,operating,0,19.0,2007.0
2100b Sausalito LLC.,Advertising,USA,50000.0,2,closed,1,2.0,2011.0
21Cake Food Co.,Delivery,CHN,1464128.0,1,operating,0,22.0,2004.0
21Diamonds,E-Commerce,IND,6369507.0,1,operating,0,14.0,2012.0
21 Inc,Big Data,USA,121050000.0,2,operating,0,13.0,2013.0
22nd Century Group,Biotechnology,USA,15034750.0,6,ipo,0,28.0,1998.0
22seeds,Android,ISR,250000.0,1,closed,1,3.0,2010.0
2345.com,Software,CHN,1610541.0,2,operating,0,21.0,2005.0
2359 Media,Mobile,SGP,615000.0,1,operating,0,17.0,2009.0
23andMe,Biotechnology,USA,227049900.0,8,operating,0,20.0,2006.0
23press,Blogging Platforms,CAN,50000.0,1,operating,0,15.0,2011.0
24x7 Learning,EdTech,IND,4000000.0,1,operating,0,25.0,2001.0
248 SolidState,Computers,USA,500000.0,1,operating,0,19.0,2007.0
24Fundraiser.com,Non Profit,USA,400000.0,1,operating,0,19.0,2007.0
24i,Internet,NLD,2000000.0,1,operating,0,17.0,2009.0
24M Technologies,Clean Technology,USA,16000000.0,1,operating,0,16.0,2010.0
24PageBooks,Software,USA,50000.0,1,closed,1,1.0,2010.0
24Symbols,Software,ESP,2942768.88931116,3,operating,0,16.0,2010.0
250ok,Software,USA,300000.0,2,operating,0,14.0,2012.0
265 Network,Software,CHN,2000000.0,1,operating,0,22.0,2004.0
27 Perry,E-Commerce,USA,118000.0,1,closed,1,0.0,2012.0
28msec,Cloud Computing,USA,5844811.0,1,operating,0,18.0,2008.0
2C2P,E-Commerce,SGP,10000000.0,3,operating,0,23.0,2003.0
2can,Credit Cards,RUS,8300000.0,3,operating,0,14.0,2012.0
2Catalyze,Software,CAN,6785876.0,1,operating,0,18.0,2008.0
2Checkout,E-Commerce,USA,72000000.0,2,operating,0,27.0,1999.0
2CRisk,Software,AUS,383000.0,2,operating,0,16.0,2010.0
2degreesmobile,Mobile,NZL,165000000.0,1,operating,0,17.0,2009.0
2GO Mobile Solutions,Software,USA,275000.0,1,operating,0,18.0,2008.0
2heuresavant,Discounts,FRA,33457.0,1,operating,0,16.0,2010.0
2houses,Curated Web,BEL,966728.0,2,operating,0,15.0,2011.0
2lemetry,Internet of Things,USA,4000000.0,1,acquired,0,15.0,2011.0
2Morrow Inc,Application Platforms,USA,300000.0,2,operating,0,14.0,2012.0
"2nd Story Software, Inc.",Software,USA,85000000.0,1,acquired,0,28.0,1998.0
2nd Watch,Cloud Infrastructure,USA,37644420.0,4,operating,0,16.0,2010.0
2NDNATURE,Landscaping,USA,20000.0,1,operating,0,22.0,2004.0
2Nite2Nite.net,Advertising,USA,6000.0,1,operating,0,13.0,2013.0
2pm Technologies,SaaS,IRL,3167062.0,1,closed,1,3.0,1999.0
2RedBeans,Curated Web,USA,2300000.0,1,operating,0,16.0,2010.0
2threads,Art,AUS,300000.0,2,operating,0,22.0,2004.0
2U Inc.,EdTech,USA,95875000.0,6,ipo,0,18.0,2008.0
2Vancouver,E-Commerce,CAN,80000.0,1,operating,0,14.0,2012.0
3-V Biosciences,Biotechnology,USA,128477567.0,7,operating,0,19.0,2007.0
30 Second Showcase,Apps,USA,25000.0,1,operating,0,13.0,2013.0
312 Capital,Finance,USA,500000.0,1,operating,0,13.0,2013.0
31Dover,E-Commerce,GBR,2274716.0,1,operating,0,14.0,2012.0
33Across,Advertising,USA,25654560.0,5,operating,0,19.0,2007.0
33Coupons,Internet,IND,20000.0,1,operating,0,11.0,2015.0
"360fly, Inc.",Consumer Electronics,USA,17800000.0,1,operating,0,28.0,1998.0
360Guanxi,Biotechnology,CHN,5000000.0,1,operating,0,26.0,2000.0
360imaging,Biotechnology,USA,1000000.0,2,operating,0,21.0,2005.0
360incentives.com,Software,CAN,7650000.0,1,operating,0,18.0,2008.0
360Learning,Communities,FRA,1543920.0,1,operating,0,16.0,2010.0
360Quan,Internet,Unknown,23000000.0,3,operating,0,20.0,2006.0
365 Data Centers,Data Centers,USA,16000000.0,1,operating,0,14.0,2012.0
365looks,Artificial Intelligence,ESP,609229.0,4,operating,0,15.0,2011.0
365Scores,Android,GBR,6700000.0,2,operating,0,18.0,2008.0
36Kr,Blogging Platforms,CHN,1573976.0,3,operating,0,27.0,1999.0
37coins,Bitcoin,USA,525000.0,2,operating,0,12.0,2014.0
37mhealth,Mobile,CHN,1629549.0,1,operating,0,13.0,2013.0
382 Communications,Mobile,USA,1600000.0,1,operating,0,16.0,2010.0
3BaysOver,Networking,CHE,1719583.0,2,operating,0,15.0,2011.0
3Cinteractive,Business Services,USA,6000000.0,1,operating,0,21.0,2005.0
3C Plus,Cloud Computing,BRA,75000.0,1,operating,0,13.0,2013.0
3CI,Biotechnology,ITA,133620.0,1,operating,0,18.0,2008.0
3Claps,Babies,USA,35000.0,1,operating,0,11.0,2015.0
3ClickEMR Corporation,Consumer Electronics,USA,500000.0,2,closed,1,1.0,2010.0
3CLogic,Customer Service,USA,9311190.0,4,operating,0,21.0,2005.0
XDN/3Crowd Technologies,Enterprise Software,USA,7289000.0,3,acquired,0,16.0,2010.0
3D-4U,3D,USA,750000.0,1,operating,0,14.0,2012.0
3D Biomatrix,Biotechnology,USA,1465000.0,2,operating,0,16.0,2010.0
3D Data,3D Technology,USA,500000.0,2,operating,0,13.0,2013.0
3D FUTURE VISION II,Games,USA,503000.0,2,closed,1,2.0,2011.0
3D HEIGHTS,Photography,USA,350000.0,1,operating,0,13.0,2013.0
3D Hubs,3D Printing,NLD,4500000.0,2,operating,0,13.0,2013.0
3D Industri.es,3D,GBR,1200000.0,2,operating,0,14.0,2012.0
"3D Operations, Inc.",3D Printing,USA,7500.0,1,operating,0,12.0,2014.0
3D Product Imaging,3D,USA,240000.0,2,operating,0,13.0,2013.0
3D Robotics,Drones,USA,99000000.0,4,operating,0,17.0,2009.0
3D Sound Labs,Hardware + Software,FRA,1168005.0,1,operating,0,12.0,2014.0
3D Sports Technology,Software,USA,909940.0,3,operating,0,16.0,2010.0
3D Systems,Software,USA,169500000.0,3,ipo,0,40.0,1986.0
3d Vision Systems,Hardware + Software,USA,150000.0,1,operating,0,17.0,2009.0
3D4Medical.com,Health Care,IRL,16399999.0,1,operating,0,22.0,2004.0
3DBin,E-Commerce,USA,400000.0,1,operating,0,17.0,2009.0
3dCart Shopping Cart Software,E-Commerce,USA,1250000.0,1,operating,0,29.0,1997.0
3Derm Systems,3D,USA,1880000.0,4,operating,0,14.0,2012.0
3Diligent,3D Printing,USA,1150000.0,2,operating,0,12.0,2014.0
3DiVi Company,3D,RUS,2670000.0,2,operating,0,15.0,2011.0
3DLT,3D Printing,USA,530000.0,1,operating,0,14.0,2012.0
3Dmena,3D Printing,JOR,30000.0,1,operating,0,12.0,2014.0
3DMGAME,Games,Unknown,732064.0,1,operating,0,25.0,2001.0
3DPhotoWorks,Printing,USA,3000.0,1,operating,0,15.0,2011.0
3DPhy.com,Creative,Unknown,204952.0,1,closed,1,1.0,2013.0
3DPrintus,3D,Unknown,220000.0,1,operating,0,13.0,2013.0
3DSoC,3D,IND,2065000.0,2,operating,0,20.0,2006.0
3DT,Finance,USA,140000.0,1,operating,0,12.0,2014.0
3FLOZ,Automated Kiosk,USA,1387500.0,2,operating,0,17.0,2009.0
3G Multimedia,Android,HUN,1700000.0,2,operating,0,17.0,2009.0
Nimble VR,Software,USA,2249999.0,2,acquired,0,14.0,2012.0
3Guppies,Music,USA,20000000.0,1,operating,0,23.0,2003.0
3GV8 International Inc,Mobile,CHN,746185.0,2,operating,0,21.0,2005.0
3i Systems,Semiconductors,CHN,13708150.0,3,closed,1,4.0,2006.0
3Jam,Messaging,USA,4000000.0,1,operating,0,21.0,2005.0
3Leaf,Web Hosting,USA,65000000.0,3,acquired,0,22.0,2004.0
3LM,Android,Unknown,1500000.0,1,acquired,0,16.0,2010.0
3nder,iOS,GBR,500000.0,2,operating,0,12.0,2014.0
3PAR,Cloud Data Services,USA,148000000.0,3,acquired,0,27.0,1999.0
3Pillar Global,Consulting,USA,25920000.0,4,operating,0,20.0,2006.0
3Play Media,Software,USA,1011601.0,3,operating,0,19.0,2007.0
3rd Planet,Curated Web,CHN,1500000.0,2,operating,0,16.0,2010.0
3ROAM,Mobile,FRA,1394250.0,1,operating,0,21.0,2005.0
3scale,Developer APIs,USA,5000000.0,2,operating,0,19.0,2007.0
3Scan,Biotechnology,USA,7063012.0,4,operating,0,15.0,2011.0
3seventy,App Marketing,USA,2000000.0,1,operating,0,18.0,2008.0
3SI Security Systems,Physical Security,USA,13000000.0,1,operating,0,55.0,1971.0
3sun,Clean Technology,GBR,15152514.0,1,operating,0,19.0,2007.0
3TEN8,Software,USA,1670000.0,1,operating,0,13.0,2013.0
3TIER,Clean Technology,USA,15000000.0,3,acquired,0,27.0,1999.0
3Touch,Software,IRL,272000.0,1,closed,1,4.0,2003.0
3V Transaction Services,Coupons,IRL,50958896.6114209,2,acquired,0,22.0,2004.0
3VR,Security,USA,64567194.0,7,operating,0,24.0,2002.0
3X Systems,Flash Storage,USA,3393925.0,2,operating,0,19.0,2007.0
4-Tell,E-Commerce,USA,2374979.0,6,operating,0,17.0,2009.0
4 the stars,Networking,BWA,1000.0,1,operating,0,13.0,2013.0
404 Found!,Enterprise Software,Unknown,6246800.0,2,operating,0,29.0,1997.0
405Labs,Machine Learning,USA,81000.0,1,operating,0,12.0,2014.0
40billion.com,Crowdfunding,USA,1050000.0,3,operating,0,18.0,2008.0
410 Labs,Messaging,USA,750000.0,1,operating,0,16.0,2010.0
41st Parameter,Security,USA,38064570.0,4,acquired,0,22.0,2004.0
422 Group,Software,USA,1000000.0,1,operating,0,22.0,2004.0
Loctronix,Software,USA,1000000.0,1,operating,0,20.0,2006.0
42Floors,Commercial Real Estate,USA,17400000.0,4,operating,0,15.0,2011.0
42Race,Online Travel,Unknown,500000.0,1,closed,1,0.0,2015.0
44LAB5,Creative,USA,450000.0,1,operating,0,11.0,2015.0
46elks,Internet,SWE,485841.245076705,2,operating,0,15.0,2011.0
480 Biomedical,Biotechnology,USA,49656999.0,5,operating,0,15.0,2011.0
490 Entertainment,Entertainment,USA,450000.0,1,operating,0,35.0,1991.0
4Cable TV,Clean Technology,USA,20900.0,1,operating,0,21.0,2005.0
4D Molecular Therapeutics,Biotechnology,USA,6999995.0,1,operating,0,13.0,2013.0
4Deep,Biotechnology,CAN,500000.0,1,operating,0,18.0,2008.0
4DK Technologies,Mobile,USA,3378975.0,1,acquired,0,21.0,2005.0
4Home,Automotive,USA,9416354.0,6,acquired,0,20.0,2006.0
4Less,E-Commerce,Unknown,1000000.0,1,operating,0,14.0,2012.0
4moms,Hardware + Software,USA,60000000.0,5,operating,0,21.0,2005.0
4PSA,Cloud Computing,ROM,6500000.0,3,operating,0,24.0,2002.0
4Runners Entertainment,Games,GBR,100000.0,1,operating,0,12.0,2014.0
4s91.com,Mobile,CHN,10000000.0,1,operating,0,15.0,2011.0
4Soils,Apps,USA,50000.0,1,operating,0,14.0,2012.0
4Tech,Biotechnology,USA,7000000.0,1,operating,0,15.0,2011.0
4th aspect,Advertising,GBR,1121078.0,4,operating,0,16.0,2010.0
4URSPACE,Real Estate,USA,50000.0,1,operating,0,13.0,2013.0
4vets,Pets,BRA,762500.0,1,operating,0,13.0,2013.0
4x4 Aviation,Aerospace,GBR,95445.0,1,operating,0,13.0,2013.0
5 CUPS and some sugar,Curated Web,Unknown,385980.0,1,operating,0,14.0,2012.0
5 examples,Software,USA,250000.0,1,operating,0,22.0,2004.0
ChartRequest,Software,USA,740000.0,2,operating,0,14.0,2012.0
5 Star Mobile,Consumer Electronics,USA,180000.0,1,operating,0,13.0,2013.0
500Friends,E-Commerce,USA,12900000.0,6,acquired,0,16.0,2010.0
500Indies,Distribution,Unknown,100000.0,1,operating,0,12.0,2014.0
500px,Apps,CAN,22325000.0,7,operating,0,17.0,2009.0
51.com,Software,CHN,27000000.0,3,operating,0,21.0,2005.0
5151tuan,Real Estate,CHN,2928257.0,1,operating,0,17.0,2009.0
5173.com,E-Commerce,CHN,9300000.0,3,operating,0,24.0,2002.0
51Talk,Education,CHN,65100000.0,4,operating,0,15.0,2011.0
51wan,Games,CHN,1500000.0,2,operating,0,19.0,2007.0
52masterworks,Art,DEU,234705.0,3,operating,0,13.0,2013.0
55social,Software,Unknown,3000000.0,1,operating,0,15.0,2011.0
55tuan.com,E-Commerce,CHN,200000000.0,2,operating,0,16.0,2010.0
56.com,Photography,CHN,30000000.0,2,acquired,0,21.0,2005.0
59sec,Advertising,Unknown,27428.6215837652,1,closed,1,0.0,2015.0
5app,Mobile,GBR,5100000.0,1,operating,0,15.0,2011.0
5BARz International,Mobile,USA,6100000.0,2,ipo,0,18.0,2008.0
5ensesinfood,Food Processing,Unknown,1848664.0,1,operating,0,13.0,2013.0
5gig,Music,ESP,368750.0,1,operating,0,19.0,2007.0
5min Media,Education,USA,12800000.0,3,acquired,0,19.0,2007.0
5minutes,Art,GBR,15873.0,1,operating,0,15.0,2011.0
5o9,Software,USA,50000.0,1,operating,0,20.0,2006.0
5Rocks,Games,KOR,3987693.0,2,acquired,0,13.0,2013.0
5th Avenue Media,Advertising,USA,250000.0,1,operating,0,14.0,2012.0
5th Finger,Mobile,USA,7000000.0,1,acquired,0,18.0,2008.0
5th Planet Games,Games,USA,3000000.0,1,operating,0,17.0,2009.0
5to1,Advertising,USA,17129760.0,4,acquired,0,17.0,2009.0
60mo,Accounting,GBR,1300000.0,3,acquired,0,17.0,2009.0
64 Pixels,Browser Extensions,USA,100000.0,1,operating,0,16.0,2010.0
640 Labs,Software,USA,3050000.0,3,acquired,0,13.0,2013.0
6connect,Web Hosting,USA,3019139.0,2,operating,0,17.0,2009.0
6Qube,Information Services,USA,100000.0,1,operating,0,17.0,2009.0
6fusion,Enterprise Software,USA,37143865.0,5,operating,0,18.0,2008.0
6N Silicon,Concentrated Solar Power,CAN,5714285.71428571,1,acquired,0,20.0,2006.0
6renyou.com,Mobile,CHN,1000000.0,2,operating,0,13.0,2013.0
6sense,B2B,USA,32000000.0,3,operating,0,13.0,2013.0
6SensorLabs,Health and Wellness,USA,8000000.0,2,operating,0,13.0,2013.0
6th Sense Analytics,Software,USA,6700000.0,2,acquired,0,22.0,2004.0
6th Wave Innovations Corporation,Nanotechnology,USA,2569720.0,2,operating,0,13.0,2013.0
6Tribes,Social Network Media,GBR,1556687.0,3,operating,0,12.0,2014.0
6Wunderkinder / Wunderlist,Android,DEU,23857750.0,5,acquired,0,16.0,2010.0
7 Billion People,Analytics,USA,6528902.0,3,closed,1,6.0,2006.0
7 Oaks Pharmaceutical,Biotechnology,USA,1613014.0,1,operating,0,29.0,1997.0
700Bike,Bicycles,CHN,15000000.0,1,operating,0,14.0,2012.0
71lbs,Analytics,USA,2450000.0,5,operating,0,15.0,2011.0
720°,Analytics,FIN,190035.0,1,operating,0,14.0,2012.0
72798.com,E-Commerce,CHN,3107198.0,1,operating,0,15.0,2011.0
Shoppable,Advertising,USA,1500000.0,2,operating,0,15.0,2011.0
77 Pieces,Curated Web,NZL,650000.0,1,closed,1,1.0,2010.0
777 Davis,Technology,USA,2875000.0,1,operating,0,15.0,2011.0
79 Group,Manufacturing,USA,1500000.0,1,operating,0,14.0,2012.0
7AC Technologies,Clean Technology,USA,16036000.0,6,operating,0,17.0,2009.0
7billionideas,Social Media,GBR,47570.0,1,operating,0,15.0,2011.0
7digital,Content Creators,GBR,20068328.451591,4,acquired,0,22.0,2004.0
7dnei.net,Broadcasting,Unknown,120000.0,1,operating,0,11.0,2015.0
7k7k.com,Games,CHN,1136548.0,2,operating,0,23.0,2003.0
7mb Technologies,Software,USA,1017470.0,3,operating,0,13.0,2013.0
7Park Data,Analytics,USA,3000000.0,1,operating,0,14.0,2012.0
7signal Solutions,Web Hosting,USA,9850000.0,4,operating,0,20.0,2006.0
7Summits,Brand Marketing,USA,600000.0,3,operating,0,17.0,2009.0
7write,Publishing,NLD,269260.0,2,operating,0,13.0,2013.0
8 Inc.,Design,USA,4500000.0,2,operating,0,13.0,2013.0
8 Securities,Finance Technology,HKG,17000000.0,2,operating,0,14.0,2012.0
800razors,E-Commerce,USA,100000.0,1,operating,0,14.0,2012.0
80th Street Residence FACC Fund I,Health and Wellness,USA,5100000.0,1,operating,0,15.0,2011.0
818 Sports & Entertainment,Digital Entertainment,USA,27000000.0,2,operating,0,14.0,2012.0
8bit,Advertising,GBR,140000.0,2,operating,0,13.0,2013.0
8fit - Fitness for the rest of us,Exercise,USA,2730000.0,3,operating,0,12.0,2014.0
8i,3D,Unknown,14481680.93113,2,operating,0,12.0,2014.0
8packs,Sports,SGP,79501.0,2,operating,0,12.0,2014.0
8tracks Radio,Music,USA,5279980.0,3,operating,0,18.0,2008.0
8Trip,Travel,CHN,24600000.0,1,operating,0,15.0,2011.0
8villages,Analytics,SGP,150000.0,1,operating,0,13.0,2013.0
8x8 Inc,Contact Centers,USA,126000000.0,1,ipo,0,39.0,1987.0
9+ Program,Consulting,USA,4500000.0,2,operating,0,13.0,2013.0
908 Devices,Manufacturing,USA,29300000.0,4,operating,0,14.0,2012.0
909c,Apps,Unknown,1292301.0,1,closed,1,3.0,2010.0
90min,Media,GBR,38800000.0,3,operating,0,15.0,2011.0
90sec Technologies,Apps,ISR,100000.0,1,operating,0,13.0,2013.0
91 Wireless,Mobile,CHN,30000000.0,1,acquired,0,16.0,2010.0
915 Labs LLC,Food Processing,USA,3000000.0,2,operating,0,12.0,2014.0
91Mobiles,Mobile,IND,1000000.0,1,operating,0,16.0,2010.0
Applauze,Mobile,USA,10450000.0,3,operating,0,16.0,2010.0
99.co,Local Businesses,SGP,2160000.0,2,operating,0,12.0,2014.0
99 Fahrenheit,Finance,ITA,1380700.0,1,closed,1,0.0,2011.0
99Bill,E-Commerce,CHN,83574271.0,5,acquired,0,21.0,2005.0
99designs,Crowdsourcing,USA,45000000.0,2,operating,0,18.0,2008.0
99dresses,Fashion,AUS,105651.0,2,closed,1,2.0,2010.0
99Gamers,E-Commerce,USA,100000.0,1,operating,0,14.0,2012.0
99motos,Apps,BRA,442943.0,1,operating,0,13.0,2013.0
99Presents,E-Commerce,IND,20000.0,1,operating,0,14.0,2012.0
99taojin.com,Manufacturing,CHN,7575757.0,1,operating,0,17.0,2009.0
99Taxis,Android,BRA,25000000.0,3,operating,0,13.0,2013.0
99tests,Software,IND,210000.0,3,operating,0,15.0,2011.0
9car Technology LLC,Automotive,CHN,80000.0,2,closed,1,1.0,2009.0
9DIAMOND,E-Commerce,CHN,9600000.0,2,operating,0,21.0,2005.0
9facts,SEO,RUS,70000.0,1,closed,1,0.0,2011.0
9Flava,Advertising,KOR,1432051.0,3,operating,0,15.0,2011.0
9GAG,Social Media,HKG,2800000.0,2,operating,0,18.0,2008.0
9Lenses,Business Analytics,USA,7200000.0,3,operating,0,15.0,2011.0
9Mile Labs,Software,USA,900000.0,1,operating,0,13.0,2013.0
9sky.com,Photography,Unknown,10000000.0,2,operating,0,27.0,1999.0
9SLIDES,Enterprises,USA,925000.0,2,acquired,0,16.0,2010.0
9Star Research,Software,USA,435400.0,1,operating,0,24.0,2002.0
A Plus,Digital Media,USA,3500000.0,1,operating,0,13.0,2013.0
A-76 Technologies,Chemicals,USA,2500000.0,1,operating,0,12.0,2014.0
A Bit Lucky,Games,USA,10312103.0,2,closed,1,2.0,2009.0
A Class Limos,Limousines,USA,45000.0,1,operating,0,15.0,2011.0
A.D.A.M INC,Health and Wellness,Unknown,6000000.0,1,operating,0,36.0,1990.0
A Dance for Me,Media,USA,1090000.0,1,operating,0,15.0,2011.0
A Family First Community Services,Health and Wellness,USA,500000.0,1,operating,0,18.0,2008.0
A&H Software House,Security,USA,1500000.0,1,operating,0,21.0,2005.0
A la Mobile,Mobile,USA,14300000.0,3,operating,0,21.0,2005.0
A LITTLE WORLD,Finance,IND,6410000.0,1,operating,0,26.0,2000.0
A-Max Technology,Audio,Unknown,60000000.0,1,operating,0,23.0,2003.0
A Place for Rover,Internet,USA,15999994.0,1,operating,0,15.0,2011.0
A-Power Energy Generation Systems,Clean Technology,CHN,10200000.0,1,closed,1,8.0,2003.0
A Smarter City,Networking,Unknown,15000.0,1,closed,1,0.0,2011.0
A1 Software Group Inc (Selly Automotive),Android,USA,20000.0,2,operating,0,12.0,2014.0
A10 Networks,Cloud Computing,USA,118000000.0,4,ipo,0,22.0,2004.0
A8 Digital Music,Music,CHN,50000000.0,2,ipo,0,26.0,2000.0
AAIPharma Services,Biotechnology,USA,20000000.0,1,operating,0,47.0,1979.0
AALegal Cash Advance,Finance,USA,160000.0,1,operating,0,17.0,2009.0
AAMPP,Music,USA,350000.0,1,operating,0,26.0,2000.0
Aarden Pharmaceuticals,Biotechnology,USA,500000.0,1,closed,1,3.0,2008.0
Aardvark,Search,USA,6000000.0,2,acquired,0,19.0,2007.0
Aasaanjobs,Consulting,IND,3100000.0,2,operating,0,12.0,2014.0
Aasonn,Human Resources,USA,20000000.0,1,operating,0,20.0,2006.0
Aastrom Biosciences,Biotechnology,USA,40000000.0,1,ipo,0,37.0,1989.0
aaTag,Social Media,BRA,442457.0,3,operating,0,16.0,2010.0
Aava Mobile,Mobile,FIN,4260000.0,1,operating,0,17.0,2009.0
AB Group,Service Providers,USA,4845819.0,1,operating,0,16.0,2010.0
